,index,week_web,week_email,week_tv,weekend_internet,weekend_internet_minutes,weekday_internet,weekday_internet_minutes,Gss year for this respondent                       ,General happiness,internet_per_week,screen_time_per_week
61715,61715,25,25,4,12,0,2,0,2016.0,Not too happy,34,87
61718,61718,21,2,1,2,0,3,0,2016.0,Very happy,19,28
61719,61719,10,20,1,5,0,5,0,2016.0,Very happy,35,62
61720,61720,5,50,4,0,10,1,0,2016.0,Not too happy,5,83
61732,61732,10,3,2,1,0,1,0,2016.0,Very happy,7,24
61735,61735,15,5,3,3,0,3,0,2016.0,Very happy,21,47
61738,61738,3,1,6,0,30,0,30,2016.0,Pretty happy,0,43
61740,61740,5,8,3,2,0,2,0,2016.0,Pretty happy,14,43
61744,61744,1,1,2,0,30,1,0,2016.0,Pretty happy,5,20
61746,61746,20,0,4,8,0,6,0,2016.0,Not too happy,46,74
61751,61751,3,3,1,1,0,2,0,2016.0,Very happy,12,22
61755,61755,33,0,1,1,0,6,0,2016.0,Pretty happy,32,39
61757,61757,1,3,3,1,30,0,30,2016.0,Very happy,2,26
61759,61759,10,0,0,3,0,2,0,2016.0,Very happy,16,16
61764,61764,21,0,3,4,0,3,0,2016.0,Not too happy,23,44
61766,61766,10,20,2,2,0,1,0,2016.0,Pretty happy,9,43
61775,61775,14,8,2,2,0,2,0,2016.0,Pretty happy,14,36
61781,61781,10,1,2,2,0,2,0,2016.0,Very happy,14,29
61784,61784,7,2,1,6,0,3,0,2016.0,Pretty happy,27,36
61786,61786,20,10,1,1,0,4,0,2016.0,Pretty happy,22,39
61788,61788,5,5,4,2,0,6,0,2016.0,Pretty happy,34,67
61792,61792,7,0,1,3,0,2,0,2016.0,Very happy,16,23
61797,61797,20,15,2,4,0,5,0,2016.0,Not too happy,33,62
61799,61799,21,21,5,3,0,3,0,2016.0,Very happy,21,77
61800,61800,20,10,2,4,0,4,0,2016.0,Very happy,28,52
61803,61803,30,3,2,0,0,2,0,2016.0,Pretty happy,10,27
61805,61805,20,4,1,3,0,2,0,2016.0,Very happy,16,27
61817,61817,8,8,4,20,0,8,0,2016.0,Pretty happy,80,116
61822,61822,10,1,2,2,0,1,0,2016.0,Pretty happy,9,24
61830,61830,20,2,1,7,0,5,0,2016.0,Pretty happy,39,48
61835,61835,5,0,2,3,0,3,0,2016.0,Pretty happy,21,35
61837,61837,12,8,3,0,0,1,0,2016.0,Not too happy,5,34
61839,61839,15,0,1,3,0,2,0,2016.0,Pretty happy,16,23
61840,61840,7,7,3,1,0,1,0,2016.0,Pretty happy,7,35
61842,61842,30,10,0,2,0,3,0,2016.0,Very happy,19,29
61844,61844,10,2,4,3,0,3,0,2016.0,Pretty happy,21,51
61849,61849,1,3,3,3,0,1,0,2016.0,Pretty happy,11,35
61850,61850,3,1,6,0,30,0,30,2016.0,Not too happy,0,43
61859,61859,21,7,16,1,0,1,0,2016.0,Pretty happy,7,126
61861,61861,14,1,1,2,0,1,0,2016.0,Pretty happy,9,17
61865,61865,15,0,1,13,0,8,0,2016.0,Pretty happy,66,73
61874,61874,7,0,1,1,0,1,0,2016.0,Pretty happy,7,14
61880,61880,0,1,5,0,0,3,0,2016.0,Not too happy,15,51
61889,61889,20,0,0,3,0,4,0,2016.0,Not too happy,26,26
61895,61895,15,4,6,1,0,1,0,2016.0,Very happy,7,53
61897,61897,4,2,8,3,0,5,0,2016.0,Very happy,31,89
61901,61901,2,1,5,2,0,10,0,2016.0,Pretty happy,54,90
61904,61904,84,40,2,0,0,0,0,2016.0,Pretty happy,0,54
61909,61909,8,0,8,1,0,8,0,2016.0,Not too happy,42,98
